timestamp,source,destination,route,state,reason
1788859920.258,1,2,1->2,direct,
1788859920.258,1,3,1->3,direct,
1788859920.259,2,1,2->1,direct,
1788859920.259,2,3,2->3,direct,
1788859920.259,3,1,3->1,direct,
1788859920.259,3,2,3->2,direct,
1788859922.440,1,2,1->3->2,relay,direct_failed
1788859924.502,3,1,3->2->1,relay,direct_failed
1788859926.547,2,3,2->1->3,relay,direct_failed
1788859927.579,1,2,1->2,down,no_relay
1788859928.668,1,2,1->2,direct,
1788859931.723,2,1,2->3->1,relay,direct_failed
1788859934.820,2,1,2->1,down,no_relay
1788859935.851,2,1,2->1,direct,
1788859938.969,1,3,1->2->3,relay,direct_failed
1788859946.260,2,3,2->1->3,down,relay_failed
1788859946.260,3,1,3->1,down,no_relay
1788859946.263,3,2,3->1->2,relay,direct_failed
1788859947.299,3,1,3->1,direct,
1788859969.077,2,3,2->1->3,relay,direct_failed
1788859979.295,1,2,1->3->2,down,relay_failed
1788859984.493,1,2,1->3->2,relay,direct_failed
1788859987.588,2,3,2->3,down,no_relay
1788859988.629,2,3,2->3,direct,
1788859991.686,1,3,1->3,down,no_relay
1788859992.693,1,3,1->3,direct,
1788859994.756,2,1,2->3->1,down,relay_failed
1788860002.068,2,1,2->3->1,relay,direct_failed
1788860017.512,3,2,3->1->2,down,relay_failed
1788860021.630,3,2,3->1->2,relay,direct_failed
1788860026.758,3,1,3->2->1,down,relay_failed
1788860030.899,3,1,3->2->1,relay,direct_failed
1788860032.907,1,3,1->3,down,no_relay
1788860033.942,1,3,1->3,direct,
1788860045.358,1,3,1->3,down,no_relay
1788860046.389,1,3,1->3,direct,
1788860047.413,2,1,2->3->1,down,relay_failed
1788860053.583,2,1,2->3->1,relay,direct_failed
1788860053.584,2,3,2->3,down,no_relay
1788860054.614,2,3,2->3,direct,
1788860056.703,3,1,3->2->1,down,relay_failed
1788860057.735,1,2,1->2,down,no_relay
1788860058.743,1,2,1->2,direct,
1788860064.917,3,2,3->2,down,no_relay
