timestamp,source,destination,route,state,reason
1788859434.728,1,2,1->2,direct,
1788859434.728,1,3,1->3,direct,
1788859434.728,2,1,2->1,direct,
1788859434.729,2,3,2->3,direct,
1788859434.729,3,1,3->1,direct,
1788859434.729,3,2,3->2,direct,
1788859436.834,1,2,1->3->2,relay,direct_failed
1788859438.907,3,1,3->2->1,relay,direct_failed
1788859440.953,2,3,2->1->3,relay,direct_failed
1788859441.962,1,2,1->2,down,no_relay
1788859443.912,1,2,1->2,direct,
1788859446.975,2,1,2->3->1,relay,direct_failed
1788859450.206,2,1,2->1,down,no_relay
1788859451.238,2,1,2->1,direct,
1788859454.314,1,3,1->2->3,relay,direct_failed
1788859461.456,2,3,2->1->3,down,relay_failed
1788859461.458,3,1,3->1,down,no_relay
1788859461.458,3,2,3->1->2,relay,direct_failed
1788859462.473,3,1,3->1,direct,
1788859483.956,2,3,2->1->3,relay,direct_failed
1788859494.318,1,2,1->3->2,down,relay_failed
1788859499.551,1,2,1->3->2,relay,direct_failed
1788859502.669,2,3,2->3,down,no_relay
1788859503.717,2,3,2->3,direct,
1788859506.812,1,3,1->3,down,no_relay
1788859507.861,1,3,1->3,direct,
1788859509.885,2,1,2->3->1,down,relay_failed
1788859517.068,2,1,2->3->1,relay,direct_failed
1788859532.481,3,2,3->1->2,down,relay_failed
1788859536.622,3,2,3->1->2,relay,direct_failed
1788859541.764,3,1,3->2->1,down,relay_failed
1788859545.865,3,1,3->2->1,relay,direct_failed
1788859547.920,1,3,1->3,down,no_relay
1788859548.948,1,3,1->3,direct,
1788859560.258,1,3,1->3,down,no_relay
1788859561.276,1,3,1->3,direct,
1788859562.294,2,1,2->3->1,down,relay_failed
1788859568.469,2,1,2->3->1,relay,direct_failed
1788859568.470,2,3,2->3,down,no_relay
1788859569.504,2,3,2->3,direct,
1788859571.548,3,1,3->2->1,down,relay_failed
1788859572.575,1,2,1->2,down,no_relay
1788859573.628,1,2,1->2,direct,
1788859580.550,3,2,3->2,down,no_relay
